"filename", "language", "C", "comment", "blank", "total"
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\chatcore.c", "C", 158, 42, 30, 230
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\core.c", "C", -159, -45, -29, -233
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\input.c", "C", 17, 0, 0, 17
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\picture.c", "C", -1, -1, 0, -2
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\storyIn.c", "C", 2, 1, 1, 4
"c:\Users\15672\Desktop\BC31\DISK_C\PRJ\SOURCE\turn.c", "C", -44, -9, 0, -53
"Total", "-", -27, -12, 2, -37
